DateTime,Humidity,Pressure,Temperature,Perm_0,Perm_1,Perm_2,Perm_3,Perm_4,Perm_5,SoilMoistMin_0,SoilMoistMin_1,SoilMoistMin_2,SoilMoistMin_3,SoilMoistMin_4,SoilMoistMin_5,rawADC_0,rawADC_1,rawADC_2,rawADC_3,rawADC_4,rawADC_5,Voltage_0,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Temperature_A,Pressure_A,Temperature_B,Pressure_B,Temperature_C,Pressure_C,odyssey_1,odyssey_2,ttlDate,ambient_temp,odyssey_3,odyssey_4,loggerUid,temp_3,temp_2,temp_4,temp_1,temp_0,logDateTime,odyssey_0,Pressure_AA,Pressure_BB,Pressure_CC,Inflow,Height_Cumulative,Height_Spline,Flux_Spline
2025-05-16 11:39:27,36.71,96705.45,23.04,5.5572,5.4798,6.2827,6.3542,9.9773,15.008,0.0904,0.0882,0.1078,0.1095,0.1855,0.2705,2109,1947,2141,2084,2566,2902,,,,,,,21.28,96.817,,,22.54,94.697,0.5425,0.5595,1905154774,23.4,0.5781,0.8372,FF9C4BF6C4C9,21.67,21.73,21.27,21.73,21.57,1747388340,0.5264,0.111549999999994,,-2.00845,2,73.389441889955,73.7036414018504,1.94352773515174E-05
2025-05-16 11:44:27,36.28,96713.09,23.28,5.5699,5.4828,6.2793,6.3512,9.9823,15.03,0.0904,0.0882,0.1077,0.1094,0.1855,0.2708,2112,1948,2142,2084,2566,2904,,,,,,,21.36,96.809,,,22.64,94.775,0.5401,0.5604,1905160495,23.11,0.5823,0.837,FF9C4BF6C4C9,21.62,21.71,21.15,21.7,21.59,1747388640,0.5254,0.0959100000000035,,-1.93808999999999,,73.491665269873,73.697810861136,1.94349939614103E-05
2025-05-16 11:49:27,35.67,96715.02,23.26,5.5697,5.4836,6.2817,6.3529,9.9856,15.036,0.0904,0.0882,0.1077,0.1095,0.1856,0.271,2112,1948,2142,2084,2566,2904,,,,,,,21.43,96.818,,,22.59,94.778,0.54,0.5606,1905160557,22.63,0.5823,0.8372,FF9C4BF6C4C9,21.62,21.71,21.13,21.7,21.58,1747388940,0.5251,0.102979999999988,,-1.93702,,73.6436084622443,73.6919609708341,1.94347089238626E-05
2025-05-16 11:54:27,35.32,96700.09,23.05,5.5758,5.4859,6.2847,6.3541,9.9891,15.051,0.0905,0.0883,0.1078,0.1095,0.1856,0.2712,2113,1948,2142,2084,2566,2904,,,,,,,21.47,96.813,,,22.39,94.743,0.54,0.5606,1905160557,22.36,0.5823,0.8371,FF9C4BF6C4C9,21.62,21.71,21.13,21.7,21.56,1747389240,0.5254,0.112909999999999,,-1.95709000000001,,73.2546592221709,73.6861306008581,1.94344241328115E-05
2025-05-16 11:59:27,34.65,96702.08,22.92,5.5857,5.4869,6.2836,6.3557,9.9848,15.051,0.0907,0.0883,0.1079,0.1095,0.1856,0.2712,2115,1949,2142,2084,2566,2904,,,,,,,21.48,96.805,,,22.27,94.745,0.54,0.5606,1905160557,22.18,0.5824,0.8371,FF9C4BF6C4C9,21.62,21.72,21.14,21.7,21.49,1747389540,0.5265,0.102920000000012,,-1.95707999999999,,73.4395571813546,73.6803197505635,1.94341395952501E-05
2025-05-16 12:04:27,34.3,96683.98,22.89,5.5976,5.4849,6.2842,6.3556,9.9833,15.055,0.0911,0.0882,0.1078,0.1095,0.1856,0.2712,2117,1949,2142,2084,2566,2905,,,,,,,21.48,96.793,,,22.21,94.753,0.54,0.5606,1905160557,22.06,0.5824,0.837,FF9C4BF6C4C9,21.62,21.72,21.14,21.7,21.4,1747389840,0.528,0.109020000000015,,-1.93097999999999,,73.3375976805731,73.6744701177426,1.943385245279E-05
2025-05-16 12:09:27,33.78,96660.95,22.93,5.6184,5.4854,6.283,6.3533,9.9821,15.061,0.0916,0.0883,0.1079,0.1095,0.1856,0.2714,2120,1949,2142,2084,2566,2905,,,,,,,21.49,96.772,,,22.32,94.767,0.5401,0.5606,1905160557,22,0.5824,0.837,FF9C4BF6C4C9,21.63,21.72,21.14,21.69,21.3,1747390140,0.5297,0.111050000000006,,-1.89395,,73.2355224353807,73.6686400050226,1.94335655638196E-05
2025-05-16 12:14:27,33.08,96655.89,23.01,5.6509,5.4861,6.2847,6.3552,9.9823,15.063,0.0924,0.0883,0.1079,0.1095,0.1855,0.2714,2127,1949,2142,2084,2566,2905,,,,,,,21.5,96.758,,,22.46,94.759,0.5402,0.5606,1905160557,21.99,0.5824,0.8369,FF9C4BF6C4C9,21.63,21.72,21.15,21.68,21.2,1747390440,0.532,0.102109999999996,,-1.89689,,73.5417635733453,73.6628099784742,1.94332779755427E-05
2025-05-16 12:19:27,33.14,96660.7,22.96,5.7006,5.4861,6.2853,6.353,9.9832,15.071,0.0937,0.0883,0.1079,0.1095,0.1856,0.2715,2135,1949,2142,2084,2566,2906,,,,,,,21.5,96.769,,,22.54,94.758,0.5402,0.5606,1905160557,22.01,0.5824,0.8368,FF9C4BF6C4C9,21.63,21.73,21.15,21.67,21.1,1747390740,0.5354,0.108300000000014,,-1.9027,,73.6666293687201,73.6569994712974,1.94329906500795E-05
2025-05-16 12:24:27,32.81,96650.97,22.86,5.7785,5.4856,6.286,6.3547,9.9814,15.077,0.0957,0.0883,0.1079,0.1095,0.1856,0.2716,2149,1948,2142,2084,2566,2906,,,,,,,21.5,96.762,,,22.57,94.767,0.5403,0.5606,1905160557,22.04,0.5824,0.8367,FF9C4BF6C4C9,21.63,21.73,21.15,21.65,21.01,1747391040,0.5404,0.11103,,-1.88397000000001,,73.4580062968498,73.6511696174326,1.94327016655208E-05
